date,store_total,FOODS,HOBBIES
2011-12-29,3233,2415,322
2011-12-30,4638,3248,711
2011-12-31,4236,3324,384
2012-01-01,2648,2054,232
2012-01-02,3931,2926,342
2012-01-03,3496,2504,488
2012-01-04,3284,2332,490
2012-01-05,3444,2613,343
2012-01-06,3854,2692,612
2012-01-07,4670,3523,503
2012-01-08,4585,3510,377
2012-01-09,3637,2875,332
2012-01-10,3217,2354,456
2012-01-11,2994,2164,485
2012-01-12,2655,1901,392
2012-01-13,3550,2657,418
2012-01-14,4271,3145,456
2012-01-15,4111,3070,415
2012-01-16,3670,2765,381
2012-01-17,2824,2111,366
2012-01-18,2729,2017,320
2012-01-19,2782,2033,406
2012-01-20,3153,2447,291
2012-01-21,5107,3766,574
2012-01-22,3965,3054,373
2012-01-23,2678,1969,316
2012-01-24,2571,1947,285
2012-01-25,2460,1788,296
2012-01-26,2680,1805,499
2012-01-27,3444,2506,456
2012-01-28,4241,3082,494
2012-01-29,4147,3135,411
2012-01-30,2889,2167,263
2012-01-31,2892,2163,329
2012-02-01,3205,2394,403
2012-02-02,3409,2502,436
2012-02-03,4269,3134,537
2012-02-04,5786,4370,643
2012-02-05,4783,3743,482
2012-02-06,3638,2665,442
2012-02-07,3159,2392,365
2012-02-08,3041,2362,287
2012-02-09,3034,2303,317
2012-02-10,3516,2773,253
2012-02-11,5463,4082,593
2012-02-12,5230,4031,449
2012-02-13,3674,2966,217
2012-02-14,2603,1997,311
2012-02-15,2669,1938,334
2012-02-16,2832,2045,348
2012-02-17,3311,2420,335
2012-02-18,4534,3314,544
2012-02-19,4535,3376,428
2012-02-20,3721,2770,343
2012-02-21,2823,2045,352
2012-02-22,2774,2006,395
2012-02-23,2798,2035,326
2012-02-24,3280,2503,278
2012-02-25,4806,3481,594
2012-02-26,4430,3415,372
2012-02-27,2998,2197,325
2012-02-28,2707,2011,275
2012-02-29,2915,2025,485
2012-03-01,3603,2538,598
2012-03-02,4025,2915,521
2012-03-03,5123,3843,544
2012-03-04,5165,3965,435
2012-03-05,3893,3036,290
2012-03-06,3398,2561,405
2012-03-07,3541,2658,402
2012-03-08,3392,2663,262
2012-03-09,3786,2860,362
2012-03-10,5354,4045,535
2012-03-11,5502,4013,653
2012-03-12,3643,2729,390
2012-03-13,2836,2043,323
2012-03-14,2821,2157,236
2012-03-15,3161,2323,382
2012-03-16,3737,2708,500
2012-03-17,4718,3442,517
2012-03-18,4966,3657,465
2012-03-19,3621,2647,420
2012-03-20,2939,2155,349
2012-03-21,2764,2051,280
2012-03-22,3103,2439,263
2012-03-23,3414,2515,411
2012-03-24,5211,3809,657
2012-03-25,5240,3925,475
2012-03-26,3167,2366,311
2012-03-27,2889,2061,399
2012-03-28,2768,1997,358
2012-03-29,2625,1975,257
2012-03-30,4255,3104,586
2012-03-31,4902,3508,630
2012-04-01,5181,3993,440
2012-04-02,3825,2886,446
2012-04-03,4005,3114,409
2012-04-04,3493,2784,269
2012-04-05,3973,3033,392
2012-04-06,5085,4053,483
2012-04-07,6035,4812,487
2012-04-08,3962,3169,273
2012-04-09,3984,3007,445
2012-04-10,3859,2903,483
2012-04-11,3310,2450,364
2012-04-12,3293,2377,454
2012-04-13,4136,2881,773
2012-04-14,5114,3868,491
2012-04-15,4950,3772,470
2012-04-16,3279,2351,484
2012-04-17,2784,2148,256
2012-04-18,2764,2012,304
2012-04-19,3330,2380,526
2012-04-20,4124,3129,483
2012-04-21,5027,3869,529
2012-04-22,5179,3845,587
2012-04-23,2968,2254,265
2012-04-24,3032,2265,282
2012-04-25,2851,2167,293
2012-04-26,3003,2228,313
2012-04-27,3820,2798,500
2012-04-28,4754,3551,572
2012-04-29,4856,3721,436
2012-04-30,3353,2547,299
2012-05-01,3605,2714,403
2012-05-02,3514,2588,504
2012-05-03,3981,2864,624
2012-05-04,4168,3153,431
2012-05-05,4457,3399,505
2012-05-06,5695,4314,618
2012-05-07,4326,3578,246
2012-05-08,3577,2841,312
2012-05-09,3501,2946,158
2012-05-10,3735,2947,345
2012-05-11,4293,3515,288
2012-05-12,5546,4519,312
2012-05-13,4390,3435,346
2012-05-14,3397,2739,212
2012-05-15,3429,2710,228
2012-05-16,3570,2799,354
2012-05-17,3339,2630,254
2012-05-18,4107,3261,352
2012-05-19,4904,3941,320
2012-05-20,5477,4367,341
2012-05-21,3583,2725,281
2012-05-22,2713,2144,174
2012-05-23,2852,2205,215
2012-05-24,3272,2560,247
2012-05-25,4120,3248,352
2012-05-26,4700,3645,382
2012-05-27,4572,3437,413
2012-05-28,4070,2975,500
2012-05-29,3277,2312,529
2012-05-30,2977,2122,440
2012-05-31,3546,2545,489
2012-06-01,4575,3423,496
2012-06-02,5652,4243,498
2012-06-03,5336,3943,503
2012-06-04,3993,2942,463
2012-06-05,3772,2888,326
2012-06-06,3558,2619,455
2012-06-07,3724,2873,357
2012-06-08,4448,3455,503
2012-06-09,4946,3720,541
2012-06-10,5484,4110,540
2012-06-11,4310,3200,470
2012-06-12,3845,2907,340
2012-06-13,3734,2772,444
2012-06-14,3838,2806,349
2012-06-15,4683,3485,379
2012-06-16,5587,4185,574
2012-06-17,4618,3518,361
2012-06-18,3740,2719,383
2012-06-19,3486,2610,265
2012-06-20,3427,2439,365
2012-06-21,3580,2498,473
2012-06-22,4760,3494,591
2012-06-23,4891,3436,560
2012-06-24,5226,3962,379
2012-06-25,3654,2670,332
2012-06-26,3181,2311,307
2012-06-27,3253,2195,416
2012-06-28,3555,2660,359
2012-06-29,4280,3090,446
2012-06-30,5356,3783,628
2012-07-01,5548,4125,402
2012-07-02,4155,3093,353
2012-07-03,4609,3401,428
2012-07-04,3497,2744,199
2012-07-05,3455,2539,246
2012-07-06,4426,3280,363
2012-07-07,4784,3604,376
2012-07-08,5481,4070,463
2012-07-09,4280,3311,280
2012-07-10,3947,2902,452
2012-07-11,3678,2599,456
2012-07-12,3778,2710,469
2012-07-13,4322,3133,418
2012-07-14,4912,3543,473
2012-07-15,4954,3651,407
2012-07-16,3583,2539,365
2012-07-17,3493,2499,433
2012-07-18,3285,2468,292
2012-07-19,3491,2511,420
2012-07-20,4488,3337,493
2012-07-21,5011,3713,472
2012-07-22,5301,3753,569
2012-07-23,3560,2522,393
2012-07-24,3255,2411,239
2012-07-25,3182,2329,243
2012-07-26,3575,2680,306
2012-07-27,3750,2823,291
2012-07-28,3971,2849,401
2012-07-29,4161,3148,249
2012-07-30,3406,2450,405
2012-07-31,3401,2452,323
2012-08-01,3819,2762,397
2012-08-02,4307,3156,450
2012-08-03,4470,3327,392
2012-08-04,5143,3870,421
2012-08-05,5538,4253,288
2012-08-06,4378,3440,234
2012-08-07,3855,2904,336
2012-08-08,3924,3037,271
2012-08-09,3810,2986,259
2012-08-10,4561,3596,261
2012-08-11,5529,4265,432
2012-08-12,5284,3958,429
2012-08-13,3864,3005,263
2012-08-14,3762,2865,256
2012-08-15,3471,2624,281
2012-08-16,3902,2968,324
2012-08-17,4366,3352,343
2012-08-18,5898,4507,473
2012-08-19,5934,4470,404
2012-08-20,3896,2853,316
2012-08-21,3564,2663,239
2012-08-22,3255,2403,274
2012-08-23,3208,2357,284
2012-08-24,3686,2710,321
2012-08-25,5082,3790,407
2012-08-26,5283,3823,425
2012-08-27,3423,2503,327
2012-08-28,3144,2351,271
2012-08-29,2879,2155,206
2012-08-30,3242,2403,314
2012-08-31,4095,3007,409
2012-09-01,5894,4527,440
2012-09-02,5403,4128,367
2012-09-03,5157,3933,377
2012-09-04,3921,2900,319
2012-09-05,3369,2602,210
2012-09-06,3242,2423,195
2012-09-07,4074,3143,316
2012-09-08,4844,3693,346
2012-09-09,5704,4247,434
2012-09-10,3714,2803,264
2012-09-11,3264,2461,255
2012-09-12,3044,2271,228
2012-09-13,3348,2447,326
2012-09-14,4097,3049,336
2012-09-15,5011,3689,428
2012-09-16,5224,3951,366
2012-09-17,3364,2487,251
2012-09-18,3290,2358,268
2012-09-19,2980,2089,320
2012-09-20,3102,2321,265
2012-09-21,3918,2847,333
2012-09-22,5121,3646,538
2012-09-23,5349,3914,403
2012-09-24,3106,2230,280
2012-09-25,2939,2167,265
2012-09-26,2838,2099,263
2012-09-27,2676,1989,215
2012-09-28,3837,2749,421
2012-09-29,4722,3543,336
2012-09-30,5091,3819,362
2012-10-01,3957,2884,410
2012-10-02,3822,2951,293
2012-10-03,3646,2751,279
2012-10-04,3295,2513,296
2012-10-05,3653,2654,337
2012-10-06,5038,3817,365
2012-10-07,5583,4251,403
2012-10-08,4069,3046,302
2012-10-09,3431,2643,259
2012-10-10,3106,2349,268
2012-10-11,3029,2205,325
2012-10-12,3730,2743,374
2012-10-13,4226,3063,366
2012-10-14,4773,3344,470
2012-10-15,3348,2392,333
2012-10-16,2870,2043,276
2012-10-17,2938,2105,291
2012-10-18,2784,1939,337
2012-10-19,3326,2419,275
2012-10-20,4226,2946,405
2012-10-21,4554,3216,404
2012-10-22,3035,2182,291
2012-10-23,2845,1965,364
2012-10-24,2566,1823,350
2012-10-25,2764,1988,235
2012-10-26,3361,2521,269
2012-10-27,4297,3195,338
2012-10-28,4627,3284,547
2012-10-29,3212,2391,265
2012-10-30,2926,2201,243
2012-10-31,2319,1682,213
2012-11-01,3176,2275,310
2012-11-02,3914,2734,434
2012-11-03,4839,3488,381
2012-11-04,5096,3679,413
2012-11-05,3638,2807,218
2012-11-06,3003,2227,292
2012-11-07,3226,2485,248
2012-11-08,3156,2396,279
2012-11-09,3894,3011,317
2012-11-10,5075,3722,464
2012-11-11,4781,3549,355
2012-11-12,3505,2646,249
2012-11-13,2886,2167,239
2012-11-14,2495,1870,176
2012-11-15,2778,2032,201
2012-11-16,3566,2662,310
2012-11-17,4817,3476,498
2012-11-18,4441,3228,376
2012-11-19,3385,2523,316
2012-11-20,3585,2720,295
2012-11-21,3843,3057,243
2012-11-22,2054,1673,97
2012-11-23,2369,1725,204
2012-11-24,2964,2171,259
2012-11-25,3639,2579,317
2012-11-26,2931,2136,315
2012-11-27,2657,1938,232
2012-11-28,2456,1815,248
2012-11-29,2277,1658,181
2012-11-30,3079,2242,228
2012-12-01,5085,3720,433
2012-12-02,4097,3097,308
2012-12-03,3804,2847,333
2012-12-04,2983,2189,282
2012-12-05,2834,2188,204
2012-12-06,3141,2372,281
2012-12-07,3762,2879,281
2012-12-08,4849,3678,412
2012-12-09,4702,3622,303
2012-12-10,3682,2869,277
2012-12-11,3004,2275,237
2012-12-12,2856,2169,282
2012-12-13,2856,2100,252
2012-12-14,3467,2614,262
2012-12-15,4475,3305,408
2012-12-16,4542,3269,379
2012-12-17,3188,2378,260
2012-12-18,3277,2397,332
2012-12-19,2968,2212,255
2012-12-20,3266,2529,243
2012-12-21,3748,2824,376
2012-12-22,4528,3524,382
2012-12-23,4171,3309,271
2012-12-24,3370,2731,198
2012-12-25,0,0,0
2012-12-26,2862,2045,247
2012-12-27,2973,2079,232
2012-12-28,3378,2415,283
2012-12-29,3978,2781,329
2012-12-30,4364,3111,358
2012-12-31,3789,2974,266
2013-01-01,2552,1888,146
2013-01-02,3532,2508,272
2013-01-03,3957,2813,288
2013-01-04,4134,2962,319
2013-01-05,4673,3320,364
2013-01-06,4855,3557,315
2013-01-07,3738,2847,197
2013-01-08,3279,2449,240
2013-01-09,2780,2118,251
2013-01-10,3308,2543,318
2013-01-11,3807,2837,373
2013-01-12,4781,3694,349
2013-01-13,4465,3351,329
2013-01-14,3048,2295,228
2013-01-15,2891,2194,249
2013-01-16,2731,1992,260
2013-01-17,2891,2150,242
2013-01-18,3698,2619,314
2013-01-19,4801,3533,330
2013-01-20,4084,2966,357
2013-01-21,3566,2537,347
2013-01-22,2764,1922,320
2013-01-23,2652,1807,340
2013-01-24,2778,1857,450
2013-01-25,3278,2264,379
2013-01-26,4742,3307,576
2013-01-27,4444,3102,457
2013-01-28,3054,2088,445
2013-01-29,2869,2012,418
2013-01-30,2389,1717,282
2013-01-31,2984,2116,370
2013-02-01,4526,3039,815
2013-02-02,6232,4472,823
2013-02-03,4018,3046,288
2013-02-04,3092,2214,297
2013-02-05,2966,2252,227
2013-02-06,3097,2283,339
2013-02-07,3294,2442,281
2013-02-08,3879,2849,307
2013-02-09,5346,3843,456
2013-02-10,5499,3969,523
2013-02-11,4054,2885,485
2013-02-12,3242,2165,484
2013-02-13,3514,2541,448
2013-02-14,2820,2045,336
2013-02-15,4121,2765,614
2013-02-16,4931,3350,636
2013-02-17,4884,3282,494
2013-02-18,3947,2591,441
2013-02-19,2867,1989,369
2013-02-20,3232,2286,446
2013-02-21,3408,2309,444
2013-02-22,4098,2790,540
2013-02-23,4835,3208,618
2013-02-24,4711,3229,521
2013-02-25,3416,2261,531
2013-02-26,2850,2026,336
2013-02-27,2953,2036,412
2013-02-28,3124,2105,416
2013-03-01,4091,2699,573
2013-03-02,5468,3680,695
2013-03-03,5520,4006,451
2013-03-04,3678,2656,377
2013-03-05,3182,2328,282
2013-03-06,3188,2456,224
2013-03-07,3070,2324,206
2013-03-08,3943,2978,305
2013-03-09,4998,3621,466
2013-03-10,4903,3479,513
2013-03-11,3638,2529,413
2013-03-12,3085,2149,326
2013-03-13,2908,1985,385
2013-03-14,3214,2163,434
2013-03-15,3958,2758,509
2013-03-16,4974,3378,569
2013-03-17,4889,3282,556
2013-03-18,3033,2025,322
2013-03-19,2950,1984,469
2013-03-20,3215,2234,389
2013-03-21,3188,2146,424
2013-03-22,4067,2789,477
2013-03-23,4724,3228,576
2013-03-24,4793,3280,395
2013-03-25,3366,2346,316
2013-03-26,3110,2192,221
2013-03-27,2973,2083,266
2013-03-28,3645,2661,291
2013-03-29,4468,3274,375
2013-03-30,5978,4414,465
2013-03-31,4279,3191,343
2013-04-01,3545,2301,500
2013-04-02,3675,2495,501
2013-04-03,3924,2596,545
2013-04-04,3938,2602,612
2013-04-05,4388,2992,580
2013-04-06,5385,3672,658
2013-04-07,5683,3852,569
2013-04-08,3901,2620,409
2013-04-09,3809,2550,475
2013-04-10,3653,2611,401
2013-04-11,3641,2513,382
2013-04-12,3825,2576,525
2013-04-13,4737,3255,502
2013-04-14,5072,3214,685
2013-04-15,3428,2310,346
2013-04-16,3016,1946,474
2013-04-17,3079,2128,371
2013-04-18,3051,2013,438
2013-04-19,3887,2680,460
2013-04-20,4923,3333,608
2013-04-21,5031,3406,552
2013-04-22,3625,2417,488
2013-04-23,3037,1956,512
2013-04-24,3073,2115,348
2013-04-25,3194,2126,442
2013-04-26,3843,2506,559
2013-04-27,4665,3073,666
2013-04-28,4723,3319,367
2013-04-29,3338,2472,223
2013-04-30,3276,2284,341
2013-05-01,3456,2351,361
2013-05-02,3604,2618,288
2013-05-03,4455,3287,298
2013-05-04,5225,3831,368
2013-05-05,5504,3792,474
2013-05-06,4257,3075,351
2013-05-07,3645,2636,341
2013-05-08,3542,2426,405
2013-05-09,3633,2629,373
2013-05-10,4292,3017,503
2013-05-11,6041,4200,731
2013-05-12,4486,3265,357
2013-05-13,3791,2591,366
2013-05-14,3564,2359,428
2013-05-15,3492,2360,415
2013-05-16,3701,2549,401
2013-05-17,4126,2835,482
2013-05-18,4746,3162,565
2013-05-19,5470,3774,531
2013-05-20,4063,2657,575
2013-05-21,3626,2451,462
2013-05-22,3473,2269,524
2013-05-23,3580,2466,431
2013-05-24,4390,3010,534
2013-05-25,4766,3182,610
2013-05-26,4416,2976,537
2013-05-27,4390,2985,481
2013-05-28,3575,2300,507
2013-05-29,3104,2110,344
2013-05-30,3439,2321,438
2013-05-31,4393,3095,470
2013-06-01,5654,3856,657
2013-06-02,5987,3982,705
2013-06-03,4602,2966,656
2013-06-04,3857,2694,388
2013-06-05,4174,2842,623
2013-06-06,3048,2120,396
2013-06-07,4783,3358,587
2013-06-08,5714,4011,581
2013-06-09,6091,4186,670
2013-06-10,4672,3336,516
2013-06-11,3859,2612,463
2013-06-12,3765,2649,489
2013-06-13,3910,2738,470
2013-06-14,4782,3523,458
2013-06-15,5526,3936,603
2013-06-16,4718,3373,461
2013-06-17,3816,2624,504
2013-06-18,3772,2530,495
2013-06-19,3350,2246,379
2013-06-20,3770,2567,434
2013-06-21,4870,3308,629
2013-06-22,5213,3766,495
2013-06-23,5505,3790,571
2013-06-24,3985,2659,499
2013-06-25,3641,2298,558
2013-06-26,3719,2637,408
2013-06-27,3635,2610,367
2013-06-28,4895,3651,432
2013-06-29,5485,4075,399
2013-06-30,5782,4077,575
2013-07-01,5052,3672,516
2013-07-02,4745,3559,366
2013-07-03,5295,3874,565
2013-07-04,4607,3504,455
2013-07-05,5104,3799,476
2013-07-06,4853,3445,484
2013-07-07,6065,4336,554
2013-07-08,4430,3254,386
2013-07-09,4176,3081,350
2013-07-10,4183,3125,330
2013-07-11,3976,2888,395
2013-07-12,4910,3376,543
2013-07-13,5275,3725,510
2013-07-14,6037,4179,694
2013-07-15,4116,2888,409
2013-07-16,3851,2719,438
2013-07-17,3764,2728,364
2013-07-18,3892,2828,329
2013-07-19,4674,3203,531
2013-07-20,5538,3799,636
2013-07-21,5913,3908,754
2013-07-22,3938,2777,349
2013-07-23,3885,2714,444
2013-07-24,3693,2661,335
2013-07-25,3748,2598,405
2013-07-26,4248,2925,458
2013-07-27,4708,3239,488
2013-07-28,5291,3786,453
2013-07-29,4008,2743,531
2013-07-30,3702,2660,361
2013-07-31,3611,2504,433
2013-08-01,4382,3135,501
2013-08-02,5314,3769,662
2013-08-03,5888,4222,554
2013-08-04,5541,3836,545
2013-08-05,4726,3378,493
2013-08-06,4153,2980,466
2013-08-07,4360,3263,470
2013-08-08,4249,3124,404
2013-08-09,4789,3514,455
2013-08-10,6308,4744,493
2013-08-11,6276,4688,541
2013-08-12,4561,3392,462
2013-08-13,3775,2785,355
2013-08-14,3762,2721,427
2013-08-15,4118,3115,360
2013-08-16,4821,3552,491
